,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,yhdP,NaN-1469,fdnG,mlaE,NaN-218,NaN-1545,NaN-122,ibpB,recA,yraP,NaN-1373,tesB,iolB,NaN-1496,artM
1,iolB,atpH,NaN-98,NaN-561,yidD,NaN-47,NaN-1012,ibpA,uvrA,rplX,recN,NaN-1484,cfa,deaD,wcaJ
2,iolC,paaJ,NaN-61,NaN-1550,mglA,NaN-108,NaN-123,phoE,NaN-1575,galR,NaN-805,exuR,ribF,pyrD,NaN-976
3,pfkA,crr,frr,nusA,sdhD,NaN-1369,NaN-58,lexA,NaN-1588,NaN-970,ppiA,dld,prmA,lgt,NaN-510
4,fadL,oppA,NaN-108,nuoI,NaN-1474,tkt-1,NaN-3,hns,atpF,ettA,bioD,nifJ,astE,fabI,NaN-501
5,aspS,rpmJ,lpxD,typA,recG,NaN-28,NaN-94,dnaK,nrdA,garK,azoR,lolB,paaA,asr,NaN-1403
6,ileS,paaZ,rpsF,glpD,NaN-1431,NaN-791,NaN-216,sspA,NaN-91,malF,NaN-324,ispH,rseB,hisC,astD
7,rseP,btuB,tgt,mdtC,lldD,NaN-1138,rpmC,NaN-24,recN,rcsB,NaN-798,damX,NaN-1320,mlaF,NaN-954
8,NaN-218,NaN-1454,gyrA,sthA,htpG,NaN-88,glpT,NaN-95,nrdB,eptB,NaN-20,glmU,nuoJ,yejF,dcuB
9,malM,bamA,rplN,rimP,rarD,NaN-118,NaN-104,hslU,gmk,pepN,phnR,prlC,NaN-1460,NaN-1144,fabR
10,clpB,NaN-1432,nusA,lepA,folP,NaN-3,NaN-949,fabB,lacZ,purH,sbmC,NaN-632,yjjG,NaN-174,NaN-696
11,NaN-316,lacZ,gapA,NaN-266,NaN-851,aspA,NaN-115,corA,NaN-1373,NaN-771,NaN-1037,iolB,malM,purL,puuR
12,nuoC,infB,NaN-1368,rplN,hfq,NaN-112,NaN-337,NaN-785,NaN-164,cytR,NaN-382,fecC,iolE,hpf,tolA
13,murD,rpsR,atpH,hpf,cpxA,acrA,pnp,NaN-106,tal,fmt,NaN-314,pgl,pyrG,NaN-681,metH
14,ftsK,pgk,rpmJ,fis,NaN-740,NaN-1585,NaN-28,NaN-930,ackA,yhdP,uvrY,lldR,hisF,dnaG,NaN-743
